순위,팀,경기수,세트수,시도,성공,실패,범실,성공률
1,현대캐피탈,36,131,3307,1762,242,220,53.28
2,KB손해보험,36,139,3643,1873,322,220,51.41
3,우리카드,36,149,3949,2030,370,285,51.41
4,대한항공,36,150,4047,2041,312,314,50.43
5,삼성화재,36,137,3621,1826,391,260,50.43
6,한국전력,36,143,3798,1855,396,327,48.84
7,OK저축은행,36,137,3893,1788,416,258,45.93
